Nome_Arquivo,scratch,spot,rust
0007.jpg,7,2,0
0010.jpg,6,3,0
0011.jpg,4,2,0
C10_U15-1-300x300.jpg,0,0,0
C5_U8-300x300.jpg,0,0,0
C6_U9-300x300.jpg,0,0,0
C8_U12-300x300.jpg,0,0,0
CL-reikalevy_mevaco_Blox_30–50-300x300.jpg,0,0,0
CL-reikalevy_mevaco_Drops_20–48-5-300x300.jpg,0,0,0
CL-reikalevy_mevaco_Leaves-300x300.jpg,0,0,0
CL-reikalevy_mevaco_Q15_RE_15x30-300x300.jpg,0,0,0
CL-reikalevy_mevaco_Rain-Blox_30–50-300x300.jpg,0,0,0
CL-reikalevy_mevaco_Rain_Blox_90deg_20–40-300x300.jpg,0,0,0
CL-reikalevy_mevaco_Rain_Drops_20–48-5-300x300.jpg,0,0,0
CL-reikalevy_mevaco_Rain_Drops_20–48-5_2-300x300.jpg,0,3,0
CL-reikalevy_mevaco_bubbles-300x300.jpg,0,0,0
CL-reikalevy_mevaco_fleur_8-32-300x300.jpg,21,0,5
Chess_30-300x300.jpg,0,0,0
Ellipse-EVH-30x70-300x300.jpg,0,0,0
Ellipse_EVH_8x32-300x300.jpg,2,0,0
Hunajakenno_35_55_0_0_DE-300x300.jpg,0,0,0
Leporello_40_65_0_0_DE-300x300.jpg,0,0,0
Lilie-28-300x300.jpg,0,0,0
R10_T15-300x300.jpg,0,0,0
R15_T21-1-300x300.jpg,0,0,0
R20_T28-300x300.jpg,0,0,0
R2_T3.5-300x300.jpg,0,0,0
R30_T40-1-300x300.jpg,0,0,0
R3_T5-300x300.jpg,0,0,0
R4_T6-300x300.jpg,0,0,0
R5_T8-300x300.jpg,0,0,0
R5_T8.jpg,0,0,0
R6_T8-300x300.jpg,0,0,0
R6_T9-300x300.jpg,0,0,0
R8_T11-300x300.jpg,0,0,0
R8_T12-300x300.jpg,0,0,0
ellipse-EVL-300x300.jpg,0,0,0
escala (0).jpg,0,4,0
escala (1).jpg,0,54,0
escala (10).jpg,0,0,0
escala (11).jpg,0,96,0
escala (12).jpg,0,0,0
escala (13).jpg,0,89,0
escala (14).jpg,0,70,0
escala (15).jpg,0,48,0
escala (16).jpg,0,27,0
escala (17).jpg,0,1,0
escala (18).jpg,0,36,0
escala (19).jpg,0,31,0
escala (2).jpg,0,4,0
escala (20).jpg,0,32,0
escala (21).jpg,0,0,0
escala (22).jpg,0,0,0
escala (23).jpg,0,54,0
escala (24).jpg,0,66,0
escala (25).jpg,0,5,0
escala (26)(prob).jpg,0,0,0
escala (26).jpg,0,18,0
escala (27).jpg,0,25,0
escala (28).jpg,0,17,0
escala (29).jpg,4,5,0
escala (3).jpg,0,25,0
escala (30).jpg,0,0,0
escala (31).jpg,0,0,0
escala (32).jpg,0,20,0
escala (33).jpg,0,0,0
escala (34).jpg,0,26,0
escala (35).jpg,0,23,0
escala (36).jpg,0,0,0
escala (37)(prof).jpg,0,0,0
escala (37).jpg,0,0,0
escala (38).jpg,0,0,0
escala (39).jpg,0,105,0
escala (4).jpg,0,9,0
escala (40).jpg,0,9,0
escala (41).jpg,0,5,0
escala (42).jpg,0,0,0
escala (43)(prob).jpg,0,0,0
escala (44).jpg,15,0,0
escala (45).jpg,0,0,0
escala (46).jpg,0,0,0
escala (5).jpg,0,22,0
escala (6).jpg,0,25,0
escala (7).jpg,0,26,0
escala (8).jpg,0,25,0
escala (9)(prob).jpg,0,0,0
escala (9).jpg,0,2,0
matrix-300x300.jpg,4,0,3
soap-bubble.jpg,0,1,0
Nome_Arquivo,scratch,spot,rust
0007.jpg,7,2,0
0010.jpg,6,3,0
0011.jpg,4,2,0
C10_U15-1-300x300.jpg,0,0,0
C5_U8-300x300.jpg,0,0,0
C6_U9-300x300.jpg,0,0,0
C8_U12-300x300.jpg,0,0,0
CL-reikalevy_mevaco_Blox_30–50-300x300.jpg,0,0,0
CL-reikalevy_mevaco_Drops_20–48-5-300x300.jpg,0,0,0
CL-reikalevy_mevaco_Leaves-300x300.jpg,0,0,0
CL-reikalevy_mevaco_Q15_RE_15x30-300x300.jpg,0,0,0
CL-reikalevy_mevaco_Rain-Blox_30–50-300x300.jpg,0,0,0
CL-reikalevy_mevaco_Rain_Blox_90deg_20–40-300x300.jpg,0,0,0
CL-reikalevy_mevaco_Rain_Drops_20–48-5-300x300.jpg,0,0,0
CL-reikalevy_mevaco_Rain_Drops_20–48-5_2-300x300.jpg,0,3,0
CL-reikalevy_mevaco_bubbles-300x300.jpg,0,0,0
CL-reikalevy_mevaco_fleur_8-32-300x300.jpg,21,0,5
Chess_30-300x300.jpg,0,0,0
Ellipse-EVH-30x70-300x300.jpg,0,0,0
Ellipse_EVH_8x32-300x300.jpg,2,0,0
Hunajakenno_35_55_0_0_DE-300x300.jpg,0,0,0
Leporello_40_65_0_0_DE-300x300.jpg,0,0,0
Lilie-28-300x300.jpg,0,0,0
R10_T15-300x300.jpg,0,0,0
R15_T21-1-300x300.jpg,0,0,0
R20_T28-300x300.jpg,0,0,0
R2_T3.5-300x300.jpg,0,0,0
R30_T40-1-300x300.jpg,0,0,0
R3_T5-300x300.jpg,0,0,0
R4_T6-300x300.jpg,0,0,0
R5_T8-300x300.jpg,0,0,0
R5_T8.jpg,0,0,0
R6_T8-300x300.jpg,0,0,0
R6_T9-300x300.jpg,0,0,0
R8_T11-300x300.jpg,0,0,0
R8_T12-300x300.jpg,0,0,0
ellipse-EVL-300x300.jpg,0,0,0
escala (0).jpg,0,4,0
escala (1).jpg,0,54,0
escala (10).jpg,0,0,0
escala (11).jpg,0,96,0
escala (12).jpg,0,0,0
escala (13).jpg,0,89,0
escala (14).jpg,0,70,0
escala (15).jpg,0,48,0
escala (16).jpg,0,27,0
escala (17).jpg,0,1,0
escala (18).jpg,0,36,0
escala (19).jpg,0,31,0
escala (2).jpg,0,4,0
escala (20).jpg,0,32,0
escala (21).jpg,0,0,0
escala (22).jpg,0,0,0
escala (23).jpg,0,54,0
escala (24).jpg,0,66,0
escala (25).jpg,0,5,0
escala (26)(prob).jpg,0,0,0
escala (26).jpg,0,18,0
escala (27).jpg,0,25,0
escala (28).jpg,0,17,0
escala (29).jpg,4,5,0
escala (3).jpg,0,25,0
escala (30).jpg,0,0,0
escala (31).jpg,0,0,0
escala (32).jpg,0,20,0
escala (33).jpg,0,0,0
escala (34).jpg,0,26,0
escala (35).jpg,0,23,0
escala (36).jpg,0,0,0
escala (37)(prof).jpg,0,0,0
escala (37).jpg,0,0,0
escala (38).jpg,0,0,0
escala (39).jpg,0,105,0
escala (4).jpg,0,9,0
escala (40).jpg,0,9,0
escala (41).jpg,0,5,0
escala (42).jpg,0,0,0
escala (43)(prob).jpg,0,0,0
escala (44).jpg,15,0,0
escala (45).jpg,0,0,0
escala (46).jpg,0,0,0
escala (5).jpg,0,22,0
escala (6).jpg,0,25,0
escala (7).jpg,0,26,0
escala (8).jpg,0,25,0
escala (9)(prob).jpg,0,0,0
escala (9).jpg,0,2,0
matrix-300x300.jpg,4,0,3
soap-bubble.jpg,0,1,0
